epoch,loss,reward,accuracy,timestamp
1,0.0,-1,22.22222222222222,2025-04-05 09:36:22
2,0.0,-4,11.11111111111111,2025-04-05 09:36:22
3,0.0,2,33.33333333333333,2025-04-05 09:36:22
4,0.0,-4,22.22222222222222,2025-04-05 09:36:22
5,0.0,-3,33.33333333333333,2025-04-05 09:36:22
6,0.0,-1,11.11111111111111,2025-04-05 09:36:22
7,0.0,-5,11.11111111111111,2025-04-05 09:36:22
8,736.5529209640291,-1,22.22222222222222,2025-04-05 09:36:22
9,360.01965671115454,5,66.66666666666666,2025-04-05 09:36:22
10,389.0527038574219,2,44.44444444444444,2025-04-05 09:36:22
11,391.34130520290796,-3,22.22222222222222,2025-04-05 09:36:22
12,331.3275383843316,0,44.44444444444444,2025-04-05 09:36:22
13,370.87525431315106,-5,0.0,2025-04-05 09:36:22
14,383.0464138454861,-1,22.22222222222222,2025-04-05 09:36:22
15,347.11614312065973,-3,0.0,2025-04-05 09:36:22
16,370.32083808051215,0,22.22222222222222,2025-04-05 09:36:22
17,400.49013264973956,-1,22.22222222222222,2025-04-05 09:36:22
18,375.66307237413196,1,44.44444444444444,2025-04-05 09:36:22
19,359.9068094889323,-2,11.11111111111111,2025-04-05 09:36:22
20,394.8833736843533,-3,22.22222222222222,2025-04-05 09:36:22
21,337.3891126844618,1,33.33333333333333,2025-04-05 09:36:22
22,361.90396457248266,-5,11.11111111111111,2025-04-05 09:36:22
23,316.73338487413196,-8,0.0,2025-04-05 09:36:23
24,341.64275444878473,-1,22.22222222222222,2025-04-05 09:36:23
25,401.37116156684027,-2,33.33333333333333,2025-04-05 09:36:23
26,320.1974826388889,0,11.11111111111111,2025-04-05 09:36:23
27,380.5513848198785,-6,0.0,2025-04-05 09:36:23
28,317.36836581759985,-2,0.0,2025-04-05 09:36:23
29,346.8500213623047,-6,0.0,2025-04-05 09:36:23
30,370.8244357638889,0,33.33333333333333,2025-04-05 09:36:23
31,445.46556260850696,-5,11.11111111111111,2025-04-05 09:36:23
32,370.0643361409505,-1,11.11111111111111,2025-04-05 09:36:23
33,345.305180867513,-11,0.0,2025-04-05 09:36:23
34,372.824957953559,6,77.77777777777779,2025-04-05 09:36:23
35,348.11170789930554,-4,22.22222222222222,2025-04-05 09:36:23
36,351.86145358615454,0,55.55555555555556,2025-04-05 09:36:23
37,365.66073269314234,-3,33.33333333333333,2025-04-05 09:36:23
38,409.1989237467448,-2,22.22222222222222,2025-04-05 09:36:23
39,494.46040513780383,0,44.44444444444444,2025-04-05 09:36:23
40,410.2888692220052,-1,33.33333333333333,2025-04-05 09:36:23
41,439.925042046441,2,66.66666666666666,2025-04-05 09:36:23
42,481.9427422417535,-10,0.0,2025-04-05 09:36:23
43,440.80016750759546,-1,55.55555555555556,2025-04-05 09:36:23
44,481.10315958658856,-7,11.11111111111111,2025-04-05 09:36:23
45,504.32874552408856,5,77.77777777777779,2025-04-05 09:36:23
46,464.0372890896267,-5,11.11111111111111,2025-04-05 09:36:23
47,475.3139919704861,-3,44.44444444444444,2025-04-05 09:36:23
48,517.9848463270399,-6,22.22222222222222,2025-04-05 09:36:23
49,534.5439147949219,0,22.22222222222222,2025-04-05 09:36:23
50,526.6247931586372,5,66.66666666666666,2025-04-05 09:36:23
