epoch,loss,reward,accuracy,timestamp
1,0.0,-4,11.11111111111111,2025-04-05 09:35:21
2,0.0,4,44.44444444444444,2025-04-05 09:35:21
3,0.0,-7,11.11111111111111,2025-04-05 09:35:21
4,0.0,-1,11.11111111111111,2025-04-05 09:35:21
5,0.0,-3,11.11111111111111,2025-04-05 09:35:21
6,0.0,-1,11.11111111111111,2025-04-05 09:35:21
7,0.0,-3,11.11111111111111,2025-04-05 09:35:21
8,658.1358311971029,1,55.55555555555556,2025-04-05 09:35:21
9,279.1420406765408,6,77.77777777777779,2025-04-05 09:35:21
10,240.64266628689236,-3,22.22222222222222,2025-04-05 09:35:21
11,203.4034423828125,-4,33.33333333333333,2025-04-05 09:35:21
12,155.90450202094183,-7,11.11111111111111,2025-04-05 09:35:22
13,162.437804751926,0,11.11111111111111,2025-04-05 09:35:22
14,110.90763770209418,6,77.77777777777779,2025-04-05 09:35:22
15,132.3285272386339,-2,33.33333333333333,2025-04-05 09:35:22
16,129.76449330647787,-5,22.22222222222222,2025-04-05 09:35:22
17,157.71390618218317,1,55.55555555555556,2025-04-05 09:35:22
18,147.00251261393228,-1,44.44444444444444,2025-04-05 09:35:22
19,152.296262105306,0,55.55555555555556,2025-04-05 09:35:22
20,151.24610561794705,-7,11.11111111111111,2025-04-05 09:35:22
21,162.18922763400607,4,66.66666666666666,2025-04-05 09:35:22
22,135.6530532836914,-6,11.11111111111111,2025-04-05 09:35:22
23,148.93727789984808,-6,22.22222222222222,2025-04-05 09:35:23
24,163.28711785210504,-1,44.44444444444444,2025-04-05 09:35:23
25,130.742310418023,1,33.33333333333333,2025-04-05 09:35:23
26,160.43130408393012,-2,33.33333333333333,2025-04-05 09:35:23
27,130.70176612006293,5,66.66666666666666,2025-04-05 09:35:23
28,156.36608717176648,0,44.44444444444444,2025-04-05 09:35:23
29,133.6886952718099,-2,44.44444444444444,2025-04-05 09:35:23
30,153.61820644802518,-1,33.33333333333333,2025-04-05 09:35:23
31,142.06108305189343,-4,22.22222222222222,2025-04-05 09:35:23
32,106.22185050116644,7,77.77777777777779,2025-04-05 09:35:23
33,131.5312957763672,-3,33.33333333333333,2025-04-05 09:35:23
34,101.32399580213759,4,66.66666666666666,2025-04-05 09:35:23
35,120.6592059665256,1,22.22222222222222,2025-04-05 09:35:24
36,141.82086520724826,-6,11.11111111111111,2025-04-05 09:35:24
37,143.81170315212674,-3,44.44444444444444,2025-04-05 09:35:24
38,147.65799713134766,0,55.55555555555556,2025-04-05 09:35:24
39,152.67485555013022,-4,33.33333333333333,2025-04-05 09:35:24
40,135.942261589898,2,55.55555555555556,2025-04-05 09:35:24
41,162.46925099690756,-3,33.33333333333333,2025-04-05 09:35:24
42,137.27831988864475,5,77.77777777777779,2025-04-05 09:35:24
43,159.79358418782553,-2,55.55555555555556,2025-04-05 09:35:24
44,145.57793935139975,-7,22.22222222222222,2025-04-05 09:35:24
45,161.90472327338324,-1,11.11111111111111,2025-04-05 09:35:24
46,181.9060762193468,-7,11.11111111111111,2025-04-05 09:35:24
47,213.04552714029947,-6,0.0,2025-04-05 09:35:24
48,165.60282219780817,-5,11.11111111111111,2025-04-05 09:35:25
49,188.8125745985243,-2,11.11111111111111,2025-04-05 09:35:25
50,165.96048821343317,3,55.55555555555556,2025-04-05 09:35:25
